name,country,region,state,varietal,price,description,merchant,address
Granite Hill Cabernet Sauvigon,United States,Lodi,California,"Cabernet Sauvignon, Cabernet Franc, Merlot",12.99,"85% Cabernet Sauvignon, 10% Cab Franc, 5% Merlot. Concentrated fruit flavors of dark cherry, toasted oak, black currants, raspberry with a long full finish. Vegan Friendly",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Granite Hill Cellars Old Vine Zinfandel,United States,Lodi,California,"Zinfandel, Petite Sirah, Syrah",12.99,"90% Zinfandel, 5% Petite Sirah, 5% Syrah. Aromas of blackberry jam, flavors of black cherries, strawberries, soft peppercorn and a sweet & smoky spice that finish long, flavorful and lingering. Vegan friendly.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Granite Hill Cellars Pinot Grigio,United States,Lodi,California,Pinot Grigio,12.99,This Pinot Grigio displays exotic floral aromas that stream into some subtle green apple and citrus with a light spiciness. The finish is smooth and everlasting with ending notes of peaches.,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Greetings From The Willamette Valley Pinot Noir,United States,Willamette Valley,Oregon,Pinot Noir,16.99,"Greetings Willamette Valley Pinot Noir is a wine hand-crafted with an adventurous spirit. Marionberries, spice, dark cherries - grown & produced with the greatest respect for the earth. Lush and round, but this wine is for a winding road, so it’s curvy, elegant. Long finish. It has all the personality you’d want to compliment a journey... Enjoy!",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Hat's Off Chardonnay (by Wente Vineyards),United States,Napa Valley,California,Chardonnay,9.99,"This wine is made with grapes sourced from select vineyards in California and harvested at the optimum level of maturity. The grapes were gently pressed and fermented in a combination of new and used oak barrels and stainless-steel tanks. Fermentation was kept cold to ensure a slow process that retains the natural fruitiness of the grapes. Golden yellow in color, Hats Off Chardonnay is full of inviting vanilla and brown sugar aromatics. A touch of oak and cinnamon-kissed green apple flavors create a smooth Chardonnay with a soft, fruity finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
I Veroni Chianti Rufina I Domi,Italy,Chianti,Tuscany,Sangiovese,14.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Il Roccolo Pinot Grigio,Italy,Veneto,Lombardy,Pinot Gris,12.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Jacob Heims Old Vines Riesling Kabinett,Germany,Mosel,Mosel,Riesling,13.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Joseph Phelps Innisfree Cabernet Sauvignon,United States,Napa Valley,California,Cabernet Sauvignon,29.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
La Ferme Du Mont Cotes du Rhone Villages,France,Cotes Du Rhone,Southern Rhone,"Grenache, Syrah",19.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
La Tonnelle Alpes De Haute Provence Rose,France,Alpes De Haute Provence,Provence,Rose,12.99,"The Syrah in particular gives this wine its structure, color, and red berry aromas with hints of violet. In the glass, it is a salmon color. It possesses great intensity on the nose with hints of lemon and gooseberry. On the palate, it is supple in texture and easy to drink.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Long Path Cabernet Sauvignon,United States,NA,California,Cabernet Sauvignon,9.99,"Displays pleasant aromas of bright red cherry and berries. On the palate, flavors of plum, raspberry and cherry are complemented with allspice, cinnamon and vanilla. It's medium-full bodied with a soft tannic structure. Try pairing with steak, but seasoned pork chops and pork tenderloin are also tasty options. Also pair with hard, aged cheeses before dinner.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Lornano Etel Rosato,Italy,Chianti Classico,Tuscany,Rose,13.99,Fattoria di Lornano is a member of the “Consorzio del Marchio Storico Chianti Classico Gallo Nero” since its foundation in 1924. Lornano practices a sustainable model of agriculture which promotes equilibrium with the environment and preserves natural resources.,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Mado En Provence Rose,France,Coteaux Varois En Provence,Provence,Rose,15.99,"A blend of 50% Grenache, 40% Cinsault and 10% Syrah. Light pink color. Fine and pleasant nose with spring flower and lemon notes. A well-balanced and subtle wine with crushed strawberry and citrus fruit aromas.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Maidenhair Pinot Noir,United States,Willamette Valley,Oregon,Pinot Noir,19.99,"A classic Willamette Valley Pinot Noir, Maidenhair is full of aromatic ripe red fruit and spice on the nose. When it flows over your palate it is well balanced with elegant tannins and fresh acidity carrying the lush red fruit through the finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Marlborough Vines Sauvignon Blanc,New Zealand,Marlborough,NA,Sauvignon Blanc,11.99,"Fresh, powerful and zingy! The nose and palate are dominated by citrus flavors of grapefruit, lemons and limes with underlying pineapple flavors. Made from Sauvignon Blanc from the Marlborough region.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Minimalist Rouge,France,Cotes Du Roussillon,Languedoc Roussillon,"Syrah, Grenache, Carignan",11.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Montalbera Fuori Catalogo Piemonte Rosso,Italy,Piedmont,Piedmont,"Barbera, Ruche",14.99,"The wine is Intense and fruity, with scents of red fruits and apricot. Delicate, smooth and full-bodied, with scents of berry jam.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Natale Verga Chianti,Italy,Chianti,Tuscany,Sangiovese,8.99,"Bright, fruity Sangiovese flavors of cherry, berry and spice are supple and easy to appreciate on both the nose and palate. Crisp acidity keeps the flavors lively and lengthy on the finish. Perfect for pizza or pasta.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Natale Verga Chianti Classico,Italy,Chianti Classico,Tuscany,Sangiovese,11.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Natale Verga Il Roccolo Pinot Grigio,Italy,Provincia Di Pavia,Lombardy,Pinot Grigio,7.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Natale Verga Montepulciano d'Abruzzo,Italy,Montepulciano D'abruzzo,Abruzzo,Montepulciano,8.99,"The aromatic red fruit nose leads to flavors of cherry, berry and spice with a middle palate of fresh strawberries, smoke and spice. Finish is soft, harmonic and full bodied.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Natale Verga Pinot Grigio,Italy,Venezie,Veneto,Pinot Grigio,8.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Natale Verga Prosecco,Italy,Prosecco,Prosecco,"Prosecco, Sparkling",10.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
No Curfew Cabernet Sauvignon,United States,NA,California,Cabernet Sauvignon,14.99,"Everyone either wants him or wants to BE him: The No Curfew Cab Sauv is one tall drink of water. (Well… wine). It’s that friend who catches every eye but likes to stay in the shadows. Polished but a little brooding, that Bruce Banner “you won’t like me when I’m angry” look that gets you weak in the knees. That mix of intense power but velvety softness, like a linebacker who tears up when he hears his best friends’ engagement story.

And at the end of the day, when you’re looking for pure class and a delicious Cabernet, this is a wine that checks all the boxes.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
No Curfew Chardonnay,United States,NA,California,Chardonnay,12.99,"Aromas of green apple, pears, and melon which meld seamlessly with a hint of buttery oak. Excellent structure and a balanced acidity.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
No Curfew Pinot Noir,United States,NA,California,Pinot Noir,14.99,"This wine starts off with fruity aromas and flavors of dried cherries, cranberry sauce, raspberry jelly, and ground pepper. The palate is soft, fruity, medium-bodied and warming, with a medium-length finish imparting notes of milk chocolate truffle, root beer float, and black licorice with earthy tannins and moderate oak flavor.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Ocaso Cabernet Sauvignon,Argentina,Mendoza,NA,Cabernet Sauvignon,10.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Ocaso Malbec,Argentina,Mendoza,NA,Malbec,10.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Ocaso Pinot Noir,Argentina,Mendoza,Mendoza,Pinot Noir,10.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Olema Cabernet Sauvignon Sonoma County,United States,Sonoma County,California,"Cabernet Sauvignon, Malbec, Petit Verdot, Petite Sirah, Merlot",24.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Olema Chardonnay Sonoma County,United States,Sonoma County,California,Chardonnay,15.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Olema Rose Cotes De Provence,France,Cotes De Provence,Provence,Rose,15.99,"Made in the Côtes de Provence in the village of Vidauban, this wine is smooth and elegant, a lovely pale copper-salmon color in the glass.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Olema Sonoma County Pinot Noir,United States,Sonoma County,California,Pinot Noir,19.99,"The wine starts with strong aromas of bright candied cherry, wild strawberry, pomegranate and plum with lite background notes of pine sap and fresh vanilla bean.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Perseverance Lodi Old Vine Zinfandel,United States,Lodi,California,Zinfandel,9.99,"Fruit forward with plenty of ripe plum, black cherry and spice flavors throughout. Concentrated on the palate with mocha spice, black raspberry and white pepper. Big and rich with classic Zinfandel bramble on the finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Pietre Del Sole Pinot Grigio,Italy,Venezie,Veneto,Pinot Grigio,10.99,"Fresh, clean, and driven with minerality, this Pinot Grigio supports a stable frame of fruit and texture on the mid palate not often found in similar bottlings.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Pin It Chardonnay,United States,Monterey County,California,Chardonnay,14.99,"A beautiful expression of Chardonnay, all from Wente's Estate Vineyards. Opens with gentle floral notes on the nose and showcases beautiful hints of creamy lemon curd, green apple and vanilla on the palate. Enticing minerality and fresh natural acidity on the pleasant finish. Estate grown in Certified Sustainable vineyards.
 
When you find something you love - places, experiences, hang outs, you Pin It! That's the same idea behind this wine.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Pleasures Pinot Noir,United States,NA,California,Pinot Noir,9.99,"Delicate and fruit forward with pomegranate, strawberry, cherry and sweet spice flavors on the nose and palate. The wine ends with firm, ripe tannins, lively acidity and a touch of complex spiciness.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Punch Cabernet Sauvignon Red Hills Lake County,United States,Paso Robles,California,Cabernet Sauvignon,19.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Quona Chianti Rufina DOCG Reserva,Italy,Chianti,Tuscany,"Sangiovese, Canaiolo, Colorino",24.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Robert Goulley Chablis,France,Chablis,Burgundy,Chardonnay,19.99,"Organically grown Chardonnay reaches the peak of freshness here in the hills of Burgundy’s Chablis. The bedrock of fine grained chalk, formed many years ago from ancient oyster shells, gives these wines a streak of fresh acidity and minerality. Organic viticulture only enhances these flavors in the resulting wine.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
San Vito Valpolicella Classico,Italy,Valpolicella,Veneto,"Corvina, Rondinella",11.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
San Vito Valpolicella Ripasso,Italy,Valpolicella Ripasso,Veneto,"Corvina, Rondinella, Molinara",19.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Scarbolo Il Volo Pinot Grigio,Italy,Grave,Friuli Venezia Giulia,Pinot Grigio,14.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Scarbolo Sauvignon Grave,Italy,Grave,Friuli Venezia Giulia,Sauvignon Blanc,18.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Second Growth Cabernet Sauvignon,United States,Columbia Valley,Washington,Cabernet Sauvignon,17.99,"Medium to deep garnet-purple in color with a nose of cassis, blackcurrant, plums, baking chocolate, leather and a whiff of pencil shavings. It’s full-bodied with lush black fruit in the mouth framed by herbal notes and spice, with very fine tannins and good acidity to lift the concentrated finish. Very classic style of Cabernet Sauvignon and a great value.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Second Growth Pinot Noir Chehalem Mountains,United States,Willamette Valley,Oregon,Pinot Noir,29.99,"Aromatic with bright red cherry and cola candy, the palate is pleasant and super easy drinking. An every day quaffable wine.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Second Growth Willamette Pinot Gris,United States,Willamette Valley,Oregon,Pinot Gris,16.99,"Opens with green apple and papaya alongside breezy aromas of fresh meadow. This wine is exuberant on the palate with nectarine and melon, flourishes of lychee and a lingering pink-peppercorn finish. All wines from this boutique producer are produced with estate grown, biodynamically  farmed grapes.  Only 336cs produced.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Second Growth Willamette Pinot Noir,United States,Willamette Valley,Oregon,Pinot Noir,19.99,"This Pinot Noir is dark and rich, leading with red cherry, plum, black tea and raspberry. The wine finishes with bright red fruit, spice and vanilla. All the wines from this boutique producer are made from estate grown, biodynamically farmed grapes. Only 700 cases produced.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Second Growth Willamette Valley Rose,United States,Willamette Valley,Oregon,Rose,14.99,"Let your senses be taken away by pineapple, guava, sea breeze, married with white flowers and fresh cut strawberries. Expect a broad and juicy structure on the palate with crisp vibrancy and a dry finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Serra Da Estrela Albarino,Spain,Rias Baixas,NA,Albarino,15.99,"Straw yellow in color with hints of green.  On you nose you will find hints of apricot, pear complimented by a lemon-lime vibrancy.  The palate shows fresh acidity, with citrus, mineral and briny notes.  

A perfect pairing for any shellfish dish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
