wine_id,name,varietal,price,description,Region_Id
57,Mado En Provence Rose,Rose,15.99,"A blend of 50% Grenache, 40% Cinsault and 10% Syrah. Light pink color. Fine and pleasant nose with spring flower and lemon notes. A well-balanced and subtle wine with crushed strawberry and citrus fruit aromas.",164
58,Maidenhair Pinot Noir,Pinot Noir,19.99,"A classic Willamette Valley Pinot Noir, Maidenhair is full of aromatic ripe red fruit and spice on the nose. When it flows over your palate it is well balanced with elegant tannins and fresh acidity carrying the lush red fruit through the finish.",780
59,Marlborough Vines Sauvignon Blanc,Sauvignon Blanc,11.99,"Fresh, powerful and zingy! The nose and palate are dominated by citrus flavors of grapefruit, lemons and limes with underlying pineapple flavors. Made from Sauvignon Blanc from the Marlborough region.",537
60,Minimalist Rouge,"Syrah, Grenache, Carignan",11.99,na,174
61,Montalbera Fuori Catalogo Piemonte Rosso,"Barbera, Ruche",14.99,"The wine is Intense and fruity, with scents of red fruits and apricot. Delicate, smooth and full-bodied, with scents of berry jam.",435
62,Natale Verga Chianti,Sangiovese,8.99,"Bright, fruity Sangiovese flavors of cherry, berry and spice are supple and easy to appreciate on both the nose and palate. Crisp acidity keeps the flavors lively and lengthy on the finish. Perfect for pizza or pasta.",373
63,Natale Verga Chianti Classico,Sangiovese,11.99,na,375
64,Natale Verga Il Roccolo Pinot Grigio,Pinot Grigio,7.99,na,443
65,Natale Verga Montepulciano d'Abruzzo,Montepulciano,8.99,"The aromatic red fruit nose leads to flavors of cherry, berry and spice with a middle palate of fresh strawberries, smoke and spice. Finish is soft, harmonic and full bodied.",424
66,Natale Verga Pinot Grigio,Pinot Grigio,8.99,na,485
67,Natale Verga Prosecco,"Prosecco, Sparkling",10.99,na,438
68,No Curfew Cabernet Sauvignon,Cabernet Sauvignon,14.99,"Everyone either wants him or wants to BE him: The No Curfew Cab Sauv is one tall drink of water. (Well… wine). It’s that friend who catches every eye but likes to stay in the shadows. Polished but a little brooding, that Bruce Banner “you won’t like me when I’m angry” look that gets you weak in the knees. That mix of intense power but velvety softness, like a linebacker who tears up when he hears his best friends’ engagement story.

And at the end of the day, when you’re looking for pure class and a delicious Cabernet, this is a wine that checks all the boxes.",782
69,No Curfew Chardonnay,Chardonnay,12.99,"Aromas of green apple, pears, and melon which meld seamlessly with a hint of buttery oak. Excellent structure and a balanced acidity.",782
70,No Curfew Pinot Noir,Pinot Noir,14.99,"This wine starts off with fruity aromas and flavors of dried cherries, cranberry sauce, raspberry jelly, and ground pepper. The palate is soft, fruity, medium-bodied and warming, with a medium-length finish imparting notes of milk chocolate truffle, root beer float, and black licorice with earthy tannins and moderate oak flavor.",782
71,Ocaso Cabernet Sauvignon,Cabernet Sauvignon,10.99,na,4
72,Ocaso Malbec,Malbec,10.99,na,4
73,Ocaso Pinot Noir,Pinot Noir,10.99,na,3
74,Olema Cabernet Sauvignon Sonoma County,"Cabernet Sauvignon, Malbec, Petit Verdot, Petite Sirah, Merlot",24.99,na,772
75,Olema Chardonnay Sonoma County,Chardonnay,15.99,na,772
76,Olema Rose Cotes De Provence,Rose,15.99,"Made in the Côtes de Provence in the village of Vidauban, this wine is smooth and elegant, a lovely pale copper-salmon color in the glass.",170
